system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo
00000000000000000000,308.1142387750236,-0.12147713587345042,0.5156973897610907,-0.5435853509953773,Z1,"{""type"":""Polygon"",""coordinates"":[[[73.02000042445346,22.200000253679107],[73.02000042445346,22.325002190210547],[72.95000140212463,22.32500220349411],[72.95000140212463,22.20000022156043],[73.02000042445346,22.200000253679107]]]}"
00000000000000000001,307.7578778950399,-0.1165358925564705,0.5360470909250569,-0.5510016352329562,Z2,"{""type"":""Polygon"",""coordinates"":[[[73.0899993808854,22.20000026951328],[73.0899993808854,22.325002183264086],[73.02000042445346,22.325002190210547],[73.02000042445346,22.200000253679107],[73.0899993808854,22.20000026951328]]]}"
00000000000000000002,309.0671264232082,-0.07199757993723518,0.4649338818292472,-0.49627426241543116,Z3,"{""type"":""Polygon"",""coordinates"":[[[73.15999829827662,22.20000023489386],[73.15999829827662,22.325002236842266],[73.0899993808854,22.325002183264086],[73.0899993808854,22.20000026951328],[73.15999829827662,22.20000023489386]]]}"
00000000000000000003,309.34325322634874,-0.03783142341114526,0.35499624743809843,-0.3982396724113392,Z4,"{""type"":""Polygon"",""coordinates"":[[[73.23000170282357,22.200000237004915],[73.23000170282357,22.32500217610994],[73.15999829827662,22.325002236842266],[73.15999829827662,22.20000023489386],[73.23000170282357,22.200000237004915]]]}"
00000000000000000004,310.2928618188499,-0.01648477965310864,0.39391205556164854,-0.4500256186607223,Z5,"{""type"":""Polygon"",""coordinates"":[[[73.30000070827495,22.2000002688222],[73.30000070827495,22.325002254421605],[73.23000170282357,22.32500217610994],[73.23000170282357,22.200000237004915],[73.30000070827495,22.2000002688222]]]}"
00000000000000000005,308.1789674054687,-0.11577898998296696,0.5382235289345526,-0.5663735807873954,Z6,"{""type"":""Polygon"",""coordinates"":[[[73.02000042445346,22.325002190210547],[73.02000042445346,22.449999752571966],[72.95000140212463,22.449999758588636],[72.95000140212463,22.32500220349411],[73.02000042445346,22.325002190210547]]]}"
00000000000000000006,307.6896337912392,-0.0802029775409825,0.46485455867097847,-0.48785905748326625,Z7,"{""type"":""Polygon"",""coordinates"":[[[73.0899993808854,22.325002183264086],[73.0899993808854,22.449999775712033],[73.02000042445346,22.449999752571966],[73.02000042445346,22.325002190210547],[73.0899993808854,22.325002183264086]]]}"
00000000000000000007,308.543216201311,-0.06486303661938318,0.4480829189501202,-0.4873547329382985,Z8,"{""type"":""Polygon"",""coordinates"":[[[73.15999829827662,22.325002236842266],[73.15999829827662,22.44999970618485],[73.0899993808854,22.449999775712033],[73.0899993808854,22.325002183264086],[73.15999829827662,22.325002236842266]]]}"
00000000000000000008,309.3178798438901,-0.04458598744368371,0.4238646107412036,-0.4666858915740163,Z9,"{""type"":""Polygon"",""coordinates"":[[[73.23000170282357,22.32500217610994],[73.23000170282357,22.44999972395041],[73.15999829827662,22.44999970618485],[73.15999829827662,22.325002236842266],[73.23000170282357,22.32500217610994]]]}"
00000000000000000009,310.20748192564605,0.005413292077567233,0.4271183864945654,-0.48587839414120887,Z10,"{""type"":""Polygon"",""coordinates"":[[[73.30000070827495,22.325002254421605],[73.30000070827495,22.449999725834992],[73.23000170282357,22.44999972395041],[73.23000170282357,22.32500217610994],[73.30000070827495,22.325002254421605]]]}"
