system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city
0,308.32280719060765,-0.0110590604952093,0.3815750630894121,-0.4392132500337003,Z1,"{""type"":""Polygon"",""coordinates"":[[[72.50999966230029,22.849998955557247],[72.50999966230029,22.9750009566224],[72.4499979166911,22.975000944488663],[72.4499979166911,22.849998953446608],[72.50999966230029,22.849998955557247]]]}",ahmedabad_features
1,309.02311959521137,0.0116270345039886,0.3388619120726114,-0.4096086169992204,Z2,"{""type"":""Polygon"",""coordinates"":[[[72.5700012861179,22.849998904506524],[72.5700012861179,22.975000890432323],[72.50999966230029,22.9750009566224],[72.50999966230029,22.849998955557247],[72.5700012861179,22.849998904506524]]]}",ahmedabad_features
2,308.4811333765406,0.0338294713832342,0.2967403502032867,-0.3825904476308337,Z3,"{""type"":""Polygon"",""coordinates"":[[[72.62999852068243,22.84999897218958],[72.62999852068243,22.975000915825813],[72.5700012861179,22.975000890432323],[72.5700012861179,22.849998904506524],[72.62999852068243,22.84999897218958]]]}",ahmedabad_features
3,309.2158214348365,0.022591700003123,0.3463201819076036,-0.427139769944899,Z4,"{""type"":""Polygon"",""coordinates"":[[[72.69000018224327,22.849998950436937],[72.69000018224327,22.975000917003428],[72.62999852068243,22.975000915825813],[72.62999852068243,22.84999897218958],[72.69000018224327,22.849998950436937]]]}",ahmedabad_features
4,308.6029440574118,0.0049448653982769,0.4016187104800897,-0.472118325974771,Z5,"{""type"":""Polygon"",""coordinates"":[[[72.75000182107684,22.849998900437992],[72.75000182107684,22.975000953142285],[72.69000018224327,22.975000917003428],[72.69000018224327,22.849998950436937],[72.75000182107684,22.849998900437992]]]}",ahmedabad_features
5,310.0048958948339,0.0015787481154893,0.3418101214496919,-0.4088934194261397,Z6,"{""type"":""Polygon"",""coordinates"":[[[72.50999966230029,22.9750009566224],[72.50999966230029,23.099998482302798],[72.4499979166911,23.09999840068322],[72.4499979166911,22.975000944488663],[72.50999966230029,22.9750009566224]]]}",ahmedabad_features
6,309.6695849079288,0.0110130209072842,0.2220059231418535,-0.2836578433046117,Z7,"{""type"":""Polygon"",""coordinates"":[[[72.5700012861179,22.975000890432323],[72.5700012861179,23.099998460587155],[72.50999966230029,23.099998482302798],[72.50999966230029,22.9750009566224],[72.5700012861179,22.975000890432323]]]}",ahmedabad_features
7,310.36789493205123,0.0163115857527799,0.2077516715137739,-0.2630439312532582,Z8,"{""type"":""Polygon"",""coordinates"":[[[72.62999852068243,22.975000915825813],[72.62999852068243,23.099998415558492],[72.5700012861179,23.099998460587155],[72.5700012861179,22.975000890432323],[72.62999852068243,22.975000915825813]]]}",ahmedabad_features
8,311.0797750483787,0.0393614334151649,0.2169251116956454,-0.2991802751398791,Z9,"{""type"":""Polygon"",""coordinates"":[[[72.69000018224327,22.975000917003428],[72.69000018224327,23.09999841161949],[72.62999852068243,23.099998415558492],[72.62999852068243,22.975000915825813],[72.69000018224327,22.975000917003428]]]}",ahmedabad_features
9,310.0453534585503,-0.0006668109285667232,0.3994858618498547,-0.4730385354085435,Z10,"{""type"":""Polygon"",""coordinates"":[[[72.75000182107684,22.975000953142285],[72.75000182107684,23.099998417998364],[72.69000018224327,23.09999841161949],[72.69000018224327,22.975000917003428],[72.75000182107684,22.975000953142285]]]}",ahmedabad_features
0,300.83194706996846,0.0803531465364734,0.3286546411670372,-0.4277850165572835,Z1,"{""type"":""Polygon"",""coordinates"":[[[77.48000214678166,12.850001073044492],[77.48000214678166,13.000000740732588],[77.4000014284863,13.000000803003784],[77.4000014284863,12.850001102732485],[77.48000214678166,12.850001073044492]]]}",bangalore_features
1,300.26641238392926,0.0424607505111111,0.2822783623444083,-0.3496545459612368,Z2,"{""type"":""Polygon"",""coordinates"":[[[77.55999842006972,12.85000107433432],[77.55999842006972,13.000000801424106],[77.48000214678166,13.000000740732588],[77.48000214678166,12.850001073044492],[77.55999842006972,12.85000107433432]]]}",bangalore_features
2,300.7067866254519,0.0236737914096035,0.2589442697705588,-0.3108739323079528,Z3,"{""type"":""Polygon"",""coordinates"":[[[77.63999920457495,12.850001054279687],[77.63999920457495,13.00000076465603],[77.55999842006972,13.000000801424106],[77.55999842006972,12.85000107433432],[77.63999920457495,12.850001054279687]]]}",bangalore_features
3,302.0027379807855,0.0360499383334154,0.286440945394299,-0.3517566141971168,Z4,"{""type"":""Polygon"",""coordinates"":[[[77.71999989155216,12.85000108375014],[77.71999989155216,13.000000785778987],[77.63999920457495,13.00000076465603],[77.63999920457495,12.850001054279687],[77.71999989155216,12.85000108375014]]]}",bangalore_features
4,302.1636031852613,0.0478198106704569,0.3504680875890475,-0.4394491412160318,Z5,"{""type"":""Polygon"",""coordinates"":[[[77.80000068297257,12.850001120258645],[77.80000068297257,13.00000082264097],[77.71999989155216,13.000000785778987],[77.71999989155216,12.85000108375014],[77.80000068297257,12.850001120258645]]]}",bangalore_features
5,300.60144306860974,0.0952348213518209,0.3354926581721609,-0.4504925266005044,Z6,"{""type"":""Polygon"",""coordinates"":[[[77.48000214678166,13.000000740732588],[77.48000214678166,13.150000506866125],[77.4000014284863,13.150000457617661],[77.4000014284863,13.000000803003784],[77.48000214678166,13.000000740732588]]]}",bangalore_features
6,300.1080352977841,0.0594454840822513,0.3002904597863246,-0.3917783777857501,Z7,"{""type"":""Polygon"",""coordinates"":[[[77.55999842006972,13.000000801424106],[77.55999842006972,13.150000513133332],[77.48000214678166,13.150000506866125],[77.48000214678166,13.000000740732588],[77.55999842006972,13.000000801424106]]]}",bangalore_features
7,301.59116472507066,0.0351033294296963,0.2815159618888038,-0.3571865842549157,Z8,"{""type"":""Polygon"",""coordinates"":[[[77.63999920457495,13.00000076465603],[77.63999920457495,13.150000519106014],[77.55999842006972,13.150000513133332],[77.55999842006972,13.000000801424106],[77.63999920457495,13.00000076465603]]]}",bangalore_features
8,303.26824080227624,0.0602110463186273,0.3004816634646335,-0.3931958239352169,Z9,"{""type"":""Polygon"",""coordinates"":[[[77.71999989155216,13.000000785778987],[77.71999989155216,13.150000505795262],[77.63999920457495,13.150000519106014],[77.63999920457495,13.00000076465603],[77.71999989155216,13.000000785778987]]]}",bangalore_features
9,303.544062547243,0.0592373786972824,0.3399752958837583,-0.4343120498085404,Z10,"{""type"":""Polygon"",""coordinates"":[[[77.80000068297257,13.00000082264097],[77.80000068297257,13.150000517730827],[77.71999989155216,13.150000505795262],[77.71999989155216,13.000000785778987],[77.80000068297257,13.00000082264097]]]}",bangalore_features
0,302.9730573267439,0.0095704011647607,0.2975891982048428,-0.3273817184453246,Z1,"{""type"":""Polygon"",""coordinates"":[[[80.13999863029491,12.950000885885297],[80.13999863029491,13.074998437280817],[80.10000048653322,13.074998426767241],[80.10000048653322,12.950000862307112],[80.13999863029491,12.950000885885297]]]}",chennai_features
1,303.4880698605157,0.020640209588817,0.2664296842894216,-0.298018047412216,Z2,"{""type"":""Polygon"",""coordinates"":[[[80.18000120232101,12.950000898316649],[80.18000120232101,13.074998387197592],[80.13999863029491,13.074998437280817],[80.13999863029491,12.950000885885297],[80.18000120232101,12.950000898316649]]]}",chennai_features
2,304.4451474383025,0.0114859717785956,0.2279508101111101,-0.2550714255175735,Z3,"{""type"":""Polygon"",""coordinates"":[[[80.21999934834353,12.950000914789047],[80.21999934834353,13.074998375988047],[80.18000120232101,13.074998387197592],[80.18000120232101,12.950000898316649],[80.21999934834353,12.950000914789047]]]}",chennai_features
3,305.02388241485625,-0.0207044855240102,0.275460069954301,-0.2915223219283726,Z4,"{""type"":""Polygon"",""coordinates"":[[[80.26000200905669,12.950000841769016],[80.26000200905669,13.07499839965535],[80.21999934834353,13.074998375988047],[80.21999934834353,12.950000914789047],[80.26000200905669,12.950000841769016]]]}",chennai_features
4,301.85274849834093,-0.1110571837493264,-0.0005305218866603504,0.0937642470005971,Z5,"{""type"":""Polygon"",""coordinates"":[[[80.30000008286758,12.950000861651985],[80.30000008286758,13.074998377330607],[80.26000200905669,13.07499839965535],[80.26000200905669,12.950000841769016],[80.30000008286758,12.950000861651985]]]}",chennai_features
5,304.6377028778459,0.0313064934571195,0.3016082221336542,-0.3441384571883999,Z6,"{""type"":""Polygon"",""coordinates"":[[[80.13999863029491,13.074998437280817],[80.13999863029491,13.200000415667452],[80.10000048653322,13.200000361622186],[80.10000048653322,13.074998426767241],[80.13999863029491,13.074998437280817]]]}",chennai_features
6,304.6215628933266,0.0106416295850027,0.2176261210037865,-0.2447996167134942,Z7,"{""type"":""Polygon"",""coordinates"":[[[80.18000120232101,13.074998387197592],[80.18000120232101,13.200000359702084],[80.13999863029491,13.200000415667452],[80.13999863029491,13.074998437280817],[80.18000120232101,13.074998387197592]]]}",chennai_features
7,304.6852338518222,-0.0085545236809364,0.2238914303966153,-0.2343891633660067,Z8,"{""type"":""Polygon"",""coordinates"":[[[80.21999934834353,13.074998375988047],[80.21999934834353,13.200000377659006],[80.18000120232101,13.200000359702084],[80.18000120232101,13.074998387197592],[80.21999934834353,13.074998375988047]]]}",chennai_features
8,305.0217090165668,0.0043386292084533,0.2660691970169489,-0.2840566896396148,Z9,"{""type"":""Polygon"",""coordinates"":[[[80.26000200905669,13.07499839965535],[80.26000200905669,13.200000381226616],[80.21999934834353,13.200000377659006],[80.21999934834353,13.074998375988047],[80.26000200905669,13.07499839965535]]]}",chennai_features
9,307.2144856101063,0.0072014193950818,0.2258843457865066,-0.2484207491572078,Z10,"{""type"":""Polygon"",""coordinates"":[[[80.30000008286758,13.074998377330607],[80.30000008286758,13.20000037377777],[80.26000200905669,13.200000381226616],[80.26000200905669,13.07499839965535],[80.30000008286758,13.074998377330607]]]}",chennai_features
0,304.7411055637758,0.0172320013269675,0.3301670904634967,-0.4209216769677442,Z1,"{""type"":""Polygon"",""coordinates"":[[[76.89099952366062,28.400001273227936],[76.94199828453203,28.400001245107145],[76.94199828453203,28.639998981135705],[76.89099952366062,28.63999893269861],[76.84000075480982,28.639998933689277],[76.84000075480982,28.40000122970283],[76.89099952366062,28.400001273227936]]]}",delhi_features
1,303.48145628417967,0.0086461975113215,0.2988647832568432,-0.3738171053232341,Z2,"{""type"":""Polygon"",""coordinates"":[[[76.9929992638011,28.400001202262935],[77.04400020351113,28.40000120420923],[77.04400020351113,28.639998935074438],[76.9929992638011,28.63999896259588],[76.94199828453203,28.639998981135705],[76.94199828453203,28.400001245107145],[76.9929992638011,28.400001202262935]]]}",delhi_features
2,302.393043211699,-0.0056309854639435,0.3098352401085212,-0.3720385577148008,Z3,"{""type"":""Polygon"",""coordinates"":[[[77.09500113219225,28.40000127050211],[77.14600216572963,28.400001253722756],[77.14600216572963,28.63999893985843],[77.09500113219225,28.639999005659874],[77.04400020351113,28.639998935074438],[77.04400020351113,28.40000120420923],[77.09500113219225,28.40000127050211]]]}",delhi_features
3,300.87649377648705,-0.0655784543625144,0.4189411694025162,-0.4485608927739769,Z4,"{""type"":""Polygon"",""coordinates"":[[[77.197000875116,28.4000012022084],[77.24799957081777,28.40000126643822],[77.24799957081777,28.639998953729645],[77.197000875116,28.63999895940277],[77.14600216572963,28.63999893985843],[77.14600216572963,28.400001253722756],[77.197000875116,28.4000012022084]]]}",delhi_features
4,301.1566155194777,-0.0361663435576717,0.3068386620604915,-0.350283661802224,Z5,"{""type"":""Polygon"",""coordinates"":[[[77.29900055894986,28.400001242195735],[77.35000158492622,28.400001194276776],[77.35000158492622,28.639998935500326],[77.29900055894986,28.63999898298557],[77.24799957081777,28.639998953729645],[77.24799957081777,28.40000126643822],[77.29900055894986,28.400001242195735]]]}",delhi_features
5,308.92062271262955,-0.0235966677471511,0.3603162826094147,-0.4228755093177871,Z6,"{""type"":""Polygon"",""coordinates"":[[[76.89099952366062,28.63999893269861],[76.94199828453203,28.639998981135705],[76.94199828453203,28.880001142530944],[76.89099952366062,28.88000119998277],[76.84000075480982,28.880001165751548],[76.84000075480982,28.639998933689277],[76.89099952366062,28.63999893269861]]]}",delhi_features
6,301.7456800171963,-0.0297848921873058,0.3594078170902707,-0.4139698959763844,Z7,"{""type"":""Polygon"",""coordinates"":[[[76.9929992638011,28.63999896259588],[77.04400020351113,28.639998935074438],[77.04400020351113,28.88000116345071],[76.9929992638011,28.88000114061013],[76.94199828453203,28.880001142530944],[76.94199828453203,28.639998981135705],[76.9929992638011,28.63999896259588]]]}",delhi_features
7,301.0169085403407,0.0009566422598910116,0.2656937358429926,-0.3275846339196061,Z8,"{""type"":""Polygon"",""coordinates"":[[[77.09500113219225,28.639999005659874],[77.14600216572963,28.63999893985843],[77.14600216572963,28.88000119595669],[77.09500113219225,28.880001143447885],[77.04400020351113,28.88000116345071],[77.04400020351113,28.639998935074438],[77.09500113219225,28.639999005659874]]]}",delhi_features
8,301.066734692591,-0.0315977137931587,0.3010572384771739,-0.3430683954153141,Z9,"{""type"":""Polygon"",""coordinates"":[[[77.197000875116,28.63999895940277],[77.24799957081777,28.639998953729645],[77.24799957081777,28.880001196125324],[77.197000875116,28.88000119154864],[77.14600216572963,28.88000119595669],[77.14600216572963,28.63999893985843],[77.197000875116,28.63999895940277]]]}",delhi_features
9,302.3565022629941,0.0027439688930417,0.2742036886681595,-0.3386426675951033,Z10,"{""type"":""Polygon"",""coordinates"":[[[77.29900055894986,28.63999898298557],[77.35000158492622,28.639998935500326],[77.35000158492622,28.88000112956735],[77.29900055894986,28.88000118396684],[77.24799957081777,28.880001196125324],[77.24799957081777,28.639998953729645],[77.29900055894986,28.63999898298557]]]}",delhi_features
0,307.4199244503272,0.0306776426416568,0.2539473941539771,-0.3130664291630464,Z1,"{""type"":""Polygon"",""coordinates"":[[[78.3800003784321,17.300001100243428],[78.3800003784321,17.450000768699528],[78.29999966915584,17.45000084831652],[78.29999966915584,17.300001139474084],[78.3800003784321,17.300001100243428]]]}",hyderabad_features
1,306.8204511776133,0.0215546255488444,0.2688037554385784,-0.3245656460245161,Z2,"{""type"":""Polygon"",""coordinates"":[[[78.46000108025841,17.300001090066623],[78.46000108025841,17.450000837772027],[78.3800003784321,17.450000768699528],[78.3800003784321,17.300001100243428],[78.46000108025841,17.300001090066623]]]}",hyderabad_features
2,306.8474230106083,0.0025707528288976,0.2222779999842927,-0.2672741978204459,Z3,"{""type"":""Polygon"",""coordinates"":[[[78.54000186464977,17.30000115468713],[78.54000186464977,17.450000834989922],[78.46000108025841,17.450000837772027],[78.46000108025841,17.300001090066623],[78.54000186464977,17.30000115468713]]]}",hyderabad_features
3,308.0283361991408,0.0397622803131143,0.2914892708615263,-0.3681962718819504,Z4,"{""type"":""Polygon"",""coordinates"":[[[78.61999814249717,17.30000107202228],[78.61999814249717,17.450000803194648],[78.54000186464977,17.450000834989922],[78.54000186464977,17.30000115468713],[78.61999814249717,17.30000107202228]]]}",hyderabad_features
4,308.4758538621264,0.0286022298807821,0.3594863912212998,-0.4385196049499572,Z5,"{""type"":""Polygon"",""coordinates"":[[[78.69999883462852,17.3000011271061],[78.69999883462852,17.450000853620047],[78.61999814249717,17.450000803194648],[78.61999814249717,17.30000107202228],[78.69999883462852,17.3000011271061]]]}",hyderabad_features
5,307.73986530689007,0.0487854026782618,0.2628327844798255,-0.3410538477025492,Z6,"{""type"":""Polygon"",""coordinates"":[[[78.3800003784321,17.450000768699528],[78.3800003784321,17.600000481302104],[78.29999966915584,17.6000004925567],[78.29999966915584,17.45000084831652],[78.3800003784321,17.450000768699528]]]}",hyderabad_features
6,307.46469210213974,0.0483974632193977,0.2712161301988069,-0.3500515005458824,Z7,"{""type"":""Polygon"",""coordinates"":[[[78.46000108025841,17.450000837772027],[78.46000108025841,17.600000472294163],[78.3800003784321,17.600000481302104],[78.3800003784321,17.450000768699528],[78.46000108025841,17.450000837772027]]]}",hyderabad_features
7,306.9787132766039,0.03918255244325,0.3206656485174132,-0.4037787723535295,Z8,"{""type"":""Polygon"",""coordinates"":[[[78.54000186464977,17.450000834989922],[78.54000186464977,17.60000051188324],[78.46000108025841,17.600000472294163],[78.46000108025841,17.450000837772027],[78.54000186464977,17.450000834989922]]]}",hyderabad_features
8,307.25255780599895,0.0587968249462008,0.3118114661296443,-0.4008169528100763,Z9,"{""type"":""Polygon"",""coordinates"":[[[78.61999814249717,17.450000803194648],[78.61999814249717,17.600000552470696],[78.54000186464977,17.60000051188324],[78.54000186464977,17.450000834989922],[78.61999814249717,17.450000803194648]]]}",hyderabad_features
9,308.95777252845147,0.0861694474123315,0.3036235893690664,-0.4171868540521476,Z10,"{""type"":""Polygon"",""coordinates"":[[[78.69999883462852,17.450000853620047],[78.69999883462852,17.60000053121498],[78.61999814249717,17.600000552470696],[78.61999814249717,17.450000803194648],[78.69999883462852,17.450000853620047]]]}",hyderabad_features
0,305.9677241771984,-0.0357127184108993,0.359184265449971,-0.437456465926942,Z1,"{""type"":""Polygon"",""coordinates"":[[[75.74000073040688,22.59999947203729],[75.78000107475978,22.599999461359594],[75.78000107475978,22.799999004473595],[75.74000073040688,22.79999900433854],[75.70000036894523,22.79999903181466],[75.70000036894523,22.59999940950928],[75.74000073040688,22.59999947203729]]]}",indore_features
1,306.7161047468957,-0.0122001792111309,0.3000880350563392,-0.3782837455170821,Z2,"{""type"":""Polygon"",""coordinates"":[[[75.82000151171877,22.599999484039053],[75.86000188481238,22.59999944486859],[75.86000188481238,22.79999904569321],[75.82000151171877,22.799999050004832],[75.78000107475978,22.799999004473595],[75.78000107475978,22.599999461359594],[75.82000151171877,22.599999484039053]]]}",indore_features
2,306.7723914945717,-0.0309147104322554,0.3109937489027386,-0.3810773084379419,Z3,"{""type"":""Polygon"",""coordinates"":[[[75.89999999928615,22.599999422910066],[75.93999809268459,22.599999448644745],[75.93999809268459,22.799999063698277],[75.89999999928615,22.799999069259567],[75.86000188481238,22.79999904569321],[75.86000188481238,22.59999944486859],[75.89999999928615,22.599999422910066]]]}",indore_features
3,308.8211140282865,-0.0279915089627717,0.3539015153718441,-0.4360601490145238,Z4,"{""type"":""Polygon"",""coordinates"":[[[75.97999848846472,22.599999468719574],[76.01999881427406,22.59999945735246],[76.01999881427406,22.799999049244505],[75.97999848846472,22.799999066099595],[75.93999809268459,22.799999063698277],[75.93999809268459,22.599999448644745],[75.97999848846472,22.599999468719574]]]}",indore_features
4,308.44113447011927,-0.0400233413033535,0.3688003739923099,-0.4408114122506983,Z5,"{""type"":""Polygon"",""coordinates"":[[[76.05999917897469,22.599999431832202],[76.09999960268559,22.599999401518794],[76.09999960268559,22.799999019405806],[76.05999917897469,22.79999903053909],[76.01999881427406,22.799999049244505],[76.01999881427406,22.59999945735246],[76.05999917897469,22.599999431832202]]]}",indore_features
5,306.9803017200744,-0.0115631757578642,0.3336923306092194,-0.4179236399975836,Z6,"{""type"":""Polygon"",""coordinates"":[[[75.74000073040688,22.79999900433854],[75.78000107475978,22.799999004473595],[75.78000107475978,22.999998662414054],[75.74000073040688,22.99999860073009],[75.70000036894523,22.99999866757256],[75.70000036894523,22.79999903181466],[75.74000073040688,22.79999900433854]]]}",indore_features
6,306.0255055082052,-0.0251038722533934,0.3585756948259533,-0.4430515437323203,Z7,"{""type"":""Polygon"",""coordinates"":[[[75.82000151171877,22.799999050004832],[75.86000188481238,22.79999904569321],[75.86000188481238,22.999998685380476],[75.82000151171877,22.999998603860046],[75.78000107475978,22.999998662414054],[75.78000107475978,22.799999004473595],[75.82000151171877,22.799999050004832]]]}",indore_features
7,307.48105087054824,-0.023990027966671,0.3564113319088847,-0.4435459596011569,Z8,"{""type"":""Polygon"",""coordinates"":[[[75.89999999928615,22.799999069259567],[75.93999809268459,22.799999063698277],[75.93999809268459,22.99999864211597],[75.89999999928615,22.999998627730005],[75.86000188481238,22.999998685380476],[75.86000188481238,22.79999904569321],[75.89999999928615,22.799999069259567]]]}",indore_features
8,307.44613013917865,-0.0361290013902744,0.359334942196694,-0.4331902447476399,Z9,"{""type"":""Polygon"",""coordinates"":[[[75.97999848846472,22.799999066099595],[76.01999881427406,22.799999049244505],[76.01999881427406,22.99999861841339],[75.97999848846472,22.99999867821334],[75.93999809268459,22.99999864211597],[75.93999809268459,22.799999063698277],[75.97999848846472,22.799999066099595]]]}",indore_features
9,308.22633641410926,-0.0527159397386018,0.3554665788654517,-0.4390293867724313,Z10,"{""type"":""Polygon"",""coordinates"":[[[76.05999917897469,22.79999903053909],[76.09999960268559,22.799999019405806],[76.09999960268559,22.99999862895455],[76.05999917897469,22.999998658140242],[76.01999881427406,22.99999861841339],[76.01999881427406,22.799999049244505],[76.05999917897469,22.79999903053909]]]}",indore_features
0,309.2022179016516,0.1019733141772316,0.2365908789840818,-0.3751905564959364,Z1,"{""type"":""Polygon"",""coordinates"":[[[75.64000097463702,26.750000060724965],[75.6800012791375,26.750000077420548],[75.6800012791375,26.925001905275103],[75.64000097463702,26.925001993241022],[75.60000055547691,26.925001934441703],[75.60000055547691,26.75000005037915],[75.64000097463702,26.750000060724965]]]}",jaipur_features
1,306.7540486123327,0.0604282232882197,0.2662626151071874,-0.3708173033935006,Z2,"{""type"":""Polygon"",""coordinates"":[[[75.72000166787484,26.750000041716017],[75.76000207327802,26.750000043347313],[75.76000207327802,26.925001994084802],[75.72000166787484,26.925001963559996],[75.6800012791375,26.925001905275103],[75.6800012791375,26.750000077420548],[75.72000166787484,26.750000041716017]]]}",jaipur_features
2,305.5692947105091,0.0410433113625126,0.25432861305304,-0.3295199036829346,Z3,"{""type"":""Polygon"",""coordinates"":[[[75.80000021058267,26.750000034649915],[75.83999831919462,26.75000007748974],[75.83999831919462,26.92500197632252],[75.80000021058267,26.92500194801138],[75.76000207327802,26.925001994084802],[75.76000207327802,26.750000043347313],[75.80000021058267,26.750000034649915]]]}",jaipur_features
