system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,city_normalized,has_water_access,distance_to_pipeline,income,ndvi_n,lst_n,ndbi_n,ndwi_n,income_n,water_score,water_feasible,water_ok,priority_score,trees,cost,efficiency,selected
0,22.19724435006964,-0.0912071349015155,0.4758192509050516,-0.4720205958403159,Z1,"{""type"":""Polygon"",""coordinates"":[[[80.81999817418624,26.750000098778504],[80.81999817418624,26.8999997336134],[80.74999921962282,26.8999997790171],[80.74999921962282,26.750000113394186],[80.81999817418624,26.750000098778504]]]}",lucknow_features,lucknow,1.0,120.0,0.9065907697025762,0.8078504448401186,0.7043065326374032,0.12668363591590362,0.18466724671590723,0.8346518465143581,0.7024793388429752,True,True,7.433075200231763,149,88.86785451411325,0.08364188874449877,True
2,22.19724435006964,0.0009565698722711,0.2611764748485812,-0.2965317969129004,Z3,"{""type"":""Polygon"",""coordinates"":[[[80.96000057984199,26.75000008157383],[80.96000057984199,26.89999979293399],[80.89000159536415,26.899999743379517],[80.89000159536415,26.750000033055173],[80.96000057984199,26.75000008157383]]]}",lucknow_features,lucknow,1.0,300.0,0.7776833435439845,0.0,0.7043065326374032,0.9222031082100502,1.0,0.0017162494980120574,0.7009966777408637,True,True,7.440561219256062,149,144.5542175747035,0.051472460258109656,True
5,22.19724435006964,-0.1058838758574001,0.5268726534264742,-0.5117675987625884,Z6,"{""type"":""Polygon"",""coordinates"":[[[80.81999817418624,26.8999997336134],[80.81999817418624,27.049999486603028],[80.74999921962282,27.049999482505406],[80.74999921962282,26.8999997790171],[80.81999817418624,26.8999997336134]]]}",lucknow_features,lucknow,0.0,1000.0,0.9321805091281222,1.0,0.7043065326374032,0.0,0.0,1.0,0.0002997002997002997,False,False,7.433075200231763,149,80.0,0.09291344000289704,False
9,22.19724435006964,-0.0661101537307742,0.4046643011296399,-0.4181272291069308,Z10,"{""type"":""Polygon"",""coordinates"":[[[81.0999985185246,26.89999974348942],[81.0999985185246,27.0499995001678],[81.02999956757874,27.04999948654371],[81.02999956757873,26.89999975476672],[81.0999985185246,26.89999974348942]]]}",lucknow_features,lucknow,0.0,1000.0,0.8676763979504338,0.5400447497930161,0.7043065326374032,0.3433105311359706,0.4350594503838736,0.5832065540762823,0.0002997002997002997,False,False,7.433075200231763,149,104.03173717951795,0.0714500728504148,False
6,22.19724435006964,-0.0480760373103911,0.4249883654160282,-0.4473921588516877,Z7,"{""type"":""Polygon"",""coordinates"":[[[80.89000159536415,26.899999743379517],[80.89000159536415,27.049999474082423],[80.81999817418624,27.049999486603028],[80.81999817418624,26.8999997336134],[80.89000159536415,26.899999743379517]]]}",lucknow_features,lucknow,0.0,1000.0,0.8611497357420821,0.6165383764427119,0.7043065326374032,0.49897366135895216,0.2990926200830561,0.5410345129066033,0.0002997002997002997,False,False,7.433075200231763,149,114.92815629512666,0.06467584132424607,False
4,26.869704011001033,-0.0344853716898975,0.3865237278082231,-0.4054023467041722,Z5,"{""type"":""Polygon"",""coordinates"":[[[81.0999985185246,26.750000070661834],[81.0999985185246,26.89999974348942],[81.02999956757873,26.89999975476672],[81.02999956757874,26.75000011534578],[81.0999985185246,26.750000070661834]]]}",lucknow_features,lucknow,0.0,400.0,0.840096878525395,0.4717691222754805,1.0,0.6162827383874652,0.49418010918414673,0.4050014330659789,0.0007481296758104738,False,False,7.438340081836621,149,123.13979168712257,0.06040565750457162,False
8,22.19724435006964,-0.0342491291533759,0.3832534256672218,-0.4110677619798271,Z9,"{""type"":""Polygon"",""coordinates"":[[[81.02999956757873,26.89999975476672],[81.02999956757874,27.04999948654371],[80.96000057984199,27.049999427043492],[80.96000057984199,26.89999979293399],[81.02999956757873,26.89999975476672]]]}",lucknow_features,lucknow,0.0,1000.0,0.8389504181075297,0.45946069481331236,0.7043065326374032,0.6183218875129086,0.4678582090775307,0.3975935767378611,0.0002997002997002997,False,False,7.434127267560092,149,123.2825321259036,0.060301545882979674,False
7,22.19724435006964,-0.0158909508296583,0.3465248308899878,-0.3878666466178297,Z8,"{""type"":""Polygon"",""coordinates"":[[[80.96000057984199,26.89999979293399],[80.96000057984199,27.049999427043492],[80.89000159536415,27.049999474082423],[80.89000159536415,26.899999743379517],[80.96000057984199,26.89999979293399]]]}",lucknow_features,lucknow,0.0,1000.0,0.8150811148477571,0.3212253804259568,0.7043065326374032,0.7767821877819951,0.5756521502462963,0.24336202504600582,0.0002997002997002997,False,False,7.439562981332307,149,134.37475314473966,0.055364291336177554,False
1,22.19724435006964,-0.0097854745339001,0.33213696297171,-0.3647388987357044,Z2,"{""type"":""Polygon"",""coordinates"":[[[80.89000159536415,26.750000033055173],[80.89000159536415,26.899999743379517],[80.81999817418624,26.8999997336134],[80.81999817418624,26.750000098778504],[80.89000159536415,26.750000033055173]]]}",lucknow_features,lucknow,0.0,900.0,0.806490921065243,0.26707380024408467,0.7043065326374032,0.8294821665081915,0.6831052211730224,0.18785647040152947,0.0003329633740288568,False,False,7.450692117449989,149,138.0637516555734,0.053965592185537405,False
3,11.068003342376699,0.0099696110572592,0.2813215324850609,-0.3205579920567454,Z4,"{""type"":""Polygon"",""coordinates"":[[[81.02999956757874,26.75000011534578],[81.02999956757873,26.89999975476672],[80.96000057984199,26.89999979293399],[80.96000057984199,26.75000008157383],[81.02999956757874,26.75000011534578]]]}",lucknow_features,lucknow,1.0,700.0,0.7774177320054367,0.07581989979797127,0.0,1.0,0.8883726827164937,0.0,0.7004279600570613,False,False,7.443119282594046,149,150.0,0.049620795217293644,False
