system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,city_normalized,has_water_access,distance_to_pipeline,income,ndvi_n,lst_n,ndbi_n,ndwi_n,income_n,water_score,water_feasible,priority_score,cost,efficiency,selected
0,34.9642387750236,-0.1214771358734504,0.5156973897610907,-0.5435853509953773,Z1,"{""type"":""Polygon"",""coordinates"":[[[73.02000042445346,22.200000253679107],[73.02000042445346,22.325002190210547],[72.95000140212463,22.32500220349411],[72.95000140212463,22.20000022156043],[73.02000042445346,22.200000253679107]]]}",vadodara_features,vadodara,1.0,120.0,0.9397432120397423,0.8770590329699465,0.16310710367316303,0.0,0.13553619262242378,0.9765657097319583,0.7024793388429752,True,7.470410533808123,80.0,0.09338013167260154,True
2,35.91712642320823,-0.0719975799372351,0.4649338818292472,-0.4962742624154311,Z3,"{""type"":""Polygon"",""coordinates"":[[[73.15999829827662,22.20000023489386],[73.15999829827662,22.325002236842266],[73.0899993808854,22.325002183264086],[73.0899993808854,22.20000026951328],[73.15999829827662,22.20000023489386]]]}",vadodara_features,vadodara,1.0,300.0,0.8898784705048388,0.6000069066858711,0.5291478953663982,0.38993923131314095,0.4169255270934217,0.5545773003507147,0.7009966777408637,True,7.5408595067103565,107.29574619191987,0.07028106681155862,True
5,35.028967405468734,-0.1157789899829669,0.5382235289345526,-0.5663735807873954,Z6,"{""type"":""Polygon"",""coordinates"":[[[73.02000042445346,22.325002190210547],[73.02000042445346,22.449999752571966],[72.95000140212463,22.449999758588636],[72.95000140212463,22.32500220349411],[73.02000042445346,22.325002190210547]]]}",vadodara_features,vadodara,0.0,1000.0,0.9425123516684426,1.0,0.1879718599521362,0.04490603414690271,0.0,1.0,0.0002997002997002997,False,7.489624692560477,83.14342239028319,0.09008078423093363,False
1,34.607877895039906,-0.1165358925564705,0.5360470909250569,-0.5510016352329562,Z2,"{""type"":""Polygon"",""coordinates"":[[[73.0899993808854,22.20000026951328],[73.0899993808854,22.325002183264086],[73.02000042445346,22.325002190210547],[73.02000042445346,22.200000253679107],[73.0899993808854,22.20000026951328]]]}",vadodara_features,vadodara,0.0,900.0,0.9423892520670465,0.9881216487429146,0.02621518479244278,0.0389410249202353,0.09142680202293041,0.9989582497895382,0.0003329633740288568,False,7.4429637343374555,82.72587174441647,0.0899714149562868,False
6,34.539633791239226,-0.0802029775409825,0.4648545586709784,-0.4878590574832662,Z7,"{""type"":""Polygon"",""coordinates"":[[[73.0899993808854,22.325002183264086],[73.0899993808854,22.449999775712033],[73.02000042445346,22.449999752571966],[73.02000042445346,22.325002190210547],[73.0899993808854,22.325002183264086]]]}",vadodara_features,vadodara,0.0,1000.0,0.8955984518799812,0.5995739844833423,0.0,0.3252740100175294,0.4669761386175591,0.6029835643337965,0.0002997002997002997,False,7.4378883695922955,102.76918070122706,0.07237469753909878,False
7,35.39321620131102,-0.0648630366193831,0.4480829189501202,-0.4873547329382985,Z8,"{""type"":""Polygon"",""coordinates"":[[[73.15999829827662,22.325002236842266],[73.15999829827662,22.44999970618485],[73.0899993808854,22.449999775712033],[73.0899993808854,22.325002183264086],[73.15999829827662,22.325002236842266]]]}",vadodara_features,vadodara,0.0,1000.0,0.8798290013186042,0.5080393637441115,0.3278938306665519,0.4461652479879849,0.4699756795777305,0.4695320482048355,0.0002997002997002997,False,7.496154096102356,111.23156735915894,0.06739232642382714,False
8,36.16787984389015,-0.0445859874436837,0.4238646107412036,-0.4666858915740163,Z9,"{""type"":""Polygon"",""coordinates"":[[[73.23000170282357,22.32500217610994],[73.23000170282357,22.44999972395041],[73.15999829827662,22.44999970618485],[73.15999829827662,22.325002236842266],[73.23000170282357,22.32500217610994]]]}",vadodara_features,vadodara,0.0,1000.0,0.8583695744329397,0.3758630414676426,0.6254719276917827,0.6059649232127131,0.5929065122926478,0.2879281906700273,0.0002997002997002997,False,7.648132555453155,122.41754462488993,0.06247578791821427,False
3,36.19325322634876,-0.0378314234111452,0.3549962474380984,-0.3982396724113392,Z4,"{""type"":""Polygon"",""coordinates"":[[[73.23000170282357,22.200000237004915],[73.23000170282357,22.32500217610994],[73.15999829827662,22.325002236842266],[73.15999829827662,22.20000023489386],[73.23000170282357,22.200000237004915]]]}",vadodara_features,vadodara,1.0,700.0,0.8329808706192312,0.0,0.6352188197002785,0.6591963934000934,1.0,0.07307219405167249,0.7004279600570613,False,7.704915922049328,126.14374753800654,0.06108044253027977,False
4,37.142861818849894,-0.0164847796531086,0.3939120555616485,-0.4500256186607223,Z5,"{""type"":""Polygon"",""coordinates"":[[[73.30000070827495,22.2000002688222],[73.30000070827495,22.325002254421605],[73.23000170282357,22.32500217610994],[73.23000170282357,22.200000237004915],[73.30000070827495,22.2000002688222]]]}",vadodara_features,vadodara,0.0,400.0,0.8297129624256706,0.21239090492265586,1.0,0.8274253457547726,0.691995821963787,0.04541699444255978,0.0007481296758104738,False,7.76129937800834,137.91977420283408,0.05627401453394241,False
9,37.05748192564607,0.0054132920775672,0.4271183864945654,-0.4858783941412088,Z10,"{""type"":""Polygon"",""coordinates"":[[[73.30000070827495,22.325002254421605],[73.30000070827495,22.449999725834992],[73.23000170282357,22.44999972395041],[73.23000170282357,22.32500217610994],[73.30000070827495,22.325002254421605]]]}",vadodara_features,vadodara,0.0,1000.0,0.8243462114940725,0.3936211816680952,0.9672022994919173,1.0,0.4787564116224983,0.0,0.0002997002997002997,False,7.77214709412397,150.0,0.05181431396082647,False
