system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,city_normalized,has_water_access,distance_to_pipeline,income,ndvi_n,lst_n,ndbi_n,ndwi_n,income_n,water_score,water_feasible,priority_score,cost,efficiency,selected
0,35.26649340567093,-0.1260182145777418,0.2865575464710446,-0.3393101963999392,Z1,"{""type"":""Polygon"",""coordinates"":[[[72.70999919790215,21.099997938072764],[72.70999919790215,21.224999959558613],[72.6500020014233,21.22499993169516],[72.6500020014233,21.099997979343215],[72.70999919790215,21.099997938072764]]]}",surat_features,surat,1.0,120.0,0.8741800141457325,0.15732948720385362,0.21931147781703633,0.0,0.855843426449195,0.8319717667306291,0.7024793388429752,True,7.504977084626257,80.0,0.09381221355782822,True
2,36.145559878593644,-0.0217143797303198,0.2835976797729529,-0.3358541314513296,Z3,"{""type"":""Polygon"",""coordinates"":[[[72.8299980714329,21.09999798865362],[72.8299980714329,21.224999983338723],[72.77000090351893,21.224999989125063],[72.77000090351893,21.09999801072069],[72.8299980714329,21.09999798865362]]]}",surat_features,surat,1.0,300.0,0.8002793697431098,0.14321775766919706,0.6119947109312169,0.7939238074398806,0.876251425319211,0.22839048059515835,0.7009966777408637,True,7.658770452268859,135.57466652079165,0.05649116202026073,True
9,34.77553949926863,-0.0869471793903214,0.4388536182890968,-0.4622728751623631,Z10,"{""type"":""Polygon"",""coordinates"":[[[72.95000140212463,21.224999977631864],[72.95000140212463,21.35000191471254],[72.88999978021023,21.35000195998818],[72.88999978021023,21.224999954425822],[72.95000140212463,21.224999977631864]]]}",surat_features,surat,0.0,1000.0,0.892519111059954,0.8834300835829472,0.0,0.2973948662768752,0.1297511085813741,0.9817557881221388,0.0002997002997002997,False,7.4429637343374555,100.81764063938127,0.07382600591656867,False
4,35.01768120590191,-0.0796597127845781,0.4633035918203222,-0.4842460368264482,Z5,"{""type"":""Polygon"",""coordinates"":[[[72.95000140212463,21.099997936583172],[72.95000140212463,21.224999977631864],[72.88999978021023,21.224999954425822],[72.88999978021023,21.09999796748522],[72.95000140212463,21.099997936583172]]]}",surat_features,surat,0.0,400.0,0.8947528764953013,1.0,0.10816586818105157,0.3528644781342546,0.0,1.0,0.0007481296758104738,False,7.489624692560477,104.70051346939782,0.07153379142452407,False
8,34.87372942815506,-0.0792726561092143,0.4282492524212037,-0.455103447799925,Z9,"{""type"":""Polygon"",""coordinates"":[[[72.88999978021023,21.224999954425822],[72.88999978021023,21.35000195998818],[72.8299980714329,21.350001943321374],[72.8299980714329,21.224999983338723],[72.88999978021023,21.224999954425822]]]}",surat_features,surat,0.0,1000.0,0.8839656350028111,0.8328717448879199,0.043861914794882,0.35581061630692457,0.17208644304034038,0.9118955301875543,0.0002997002997002997,False,7.470410533808123,104.90674314148472,0.07121001291340247,False
1,35.63406235862328,-0.0692965341469571,0.3813922576004939,-0.4272450073122325,Z2,"{""type"":""Polygon"",""coordinates"":[[[72.77000090351893,21.09999801072069],[72.77000090351893,21.224999989125063],[72.70999919790215,21.224999959558613],[72.70999919790215,21.099997938072764],[72.77000090351893,21.09999801072069]]]}",surat_features,surat,0.0,900.0,0.8629252511830181,0.609472076874837,0.38350630185330015,0.4317453194110416,0.3365900129810498,0.7400488293990576,0.0003329633740288568,False,7.524122752850038,110.22217235877291,0.06826324134094396,False
7,34.949021607046745,-0.0640350444542511,0.4130225230218227,-0.4472859534541393,Z8,"{""type"":""Polygon"",""coordinates"":[[[72.8299980714329,21.224999983338723],[72.8299980714329,21.350001943321374],[72.77000090351893,21.350001967649206],[72.77000090351893,21.224999989125063],[72.8299980714329,21.224999983338723]]]}",surat_features,surat,0.0,1000.0,0.8687312880245225,0.7602754056270992,0.07749529423329682,0.47179391336493964,0.21824860091278847,0.7874694603350006,0.0002997002997002997,False,7.470410533808123,113.02557393554576,0.06609486927328692,False
5,36.09393661465816,-0.0348286229232625,0.3533348575724915,-0.4174951827899692,Z6,"{""type"":""Polygon"",""coordinates"":[[[72.70999919790215,21.224999959558613],[72.70999919790215,21.350001928163426],[72.6500020014233,21.35000195419828],[72.6500020014233,21.22499993169516],[72.70999919790215,21.224999959558613]]]}",surat_features,surat,0.0,1000.0,0.8303804933180311,0.47570306596089623,0.5889343499568152,0.6941028382237047,0.3941625443981031,0.4742405002849589,0.0002997002997002997,False,7.648132555453155,128.58719867565932,0.05947818005386639,False
3,37.01415423703389,0.0053594237673841,0.2535584510264436,-0.3148974901795076,Z4,"{""type"":""Polygon"",""coordinates"":[[[72.88999978021023,21.09999796748522],[72.88999978021023,21.224999954425822],[72.8299980714329,21.224999983338723],[72.8299980714329,21.09999798865362],[72.88999978021023,21.09999796748522]]]}",surat_features,surat,1.0,700.0,0.7723159386707642,0.0,1.0,1.0,1.0,0.0,0.7004279600570613,False,7.776284021440267,150.0,0.05184189347626845,False
6,35.299890937146074,-0.0042886944431765,0.3460647149066709,-0.4232662537580077,Z7,"{""type"":""Polygon"",""coordinates"":[[[72.77000090351893,21.224999989125063],[72.77000090351893,21.350001967649206],[72.70999919790215,21.350001928163426],[72.70999919790215,21.224999959558613],[72.77000090351893,21.224999989125063]]]}",surat_features,surat,0.0,1000.0,0.8068215005822248,0.4410412728995488,0.23423031620031495,0.9265619451522242,0.3600844782894517,0.28182313707412454,0.0002997002997002997,False,7.497469180262766,144.8593361606557,0.05175689312801853,False
