system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo,city,ndvi_n,lst_n,ndbi_n,ndwi_n,priority_score
0,309.2022179016516,0.1019733141772316,0.2365908789840818,-0.3751905564959364,Z1,"{""type"":""Polygon"",""coordinates"":[[[75.64000097463702,26.750000060724965],[75.6800012791375,26.750000077420548],[75.6800012791375,26.925001905275103],[75.64000097463702,26.925001993241022],[75.60000055547691,26.925001934441703],[75.60000055547691,26.75000005037915],[75.64000097463702,26.750000060724965]]]}",jaipur_features,0.4401292213196399,0.8463773809668408,1.0,0.2896107695147242,0.7564263714009696
8,311.0797750483787,0.0393614334151649,0.2169251116956454,-0.2991802751398791,Z9,"{""type"":""Polygon"",""coordinates"":[[[72.69000018224327,22.975000917003428],[72.69000018224327,23.09999841161949],[72.62999852068243,23.099998415558492],[72.62999852068243,22.975000915825813],[72.69000018224327,22.975000917003428]]]}",ahmedabad_features,0.4036269114837134,0.9099824183272219,0.8105074953620323,0.4047538171579029,0.7331137329775879
7,307.813049539871,0.0787584908234937,0.2475744796486849,-0.3418365516518402,Z8,"{""type"":""Polygon"",""coordinates"":[[[73.79200009178608,18.449998810126765],[73.79200009178608,18.519997792167175],[73.77799847097619,18.519997780706742],[73.77799847097619,18.44999881228124],[73.79200009178608,18.449998810126765]]]}",mumbai_features,0.4605162618400053,0.7993172391730542,0.9297412093601743,0.34013658918462514,0.7135422336022554
2,310.1261810367493,0.0426350763336561,0.2547752168333635,-0.3530983311750257,Z3,"{""type"":""Polygon"",""coordinates"":[[[73.96000117000168,18.379999837076255],[73.96000117000168,18.519997794356673],[73.89000222534351,18.519997814315534],[73.89000222534351,18.379999828449453],[73.96000117000168,18.379999837076255]]]}",pune_features,0.4738817988112869,0.8776780046682016,0.8204150526557124,0.3230768494619042,0.7130662549283668
9,308.95777252845147,0.0861694474123315,0.3036235893690664,-0.4171868540521476,Z10,"{""type"":""Polygon"",""coordinates"":[[[78.69999883462852,17.450000853620047],[78.69999883462852,17.60000053121498],[78.61999814249717,17.600000552470696],[78.61999814249717,17.450000803194648],[78.69999883462852,17.450000853620047]]]}",hyderabad_features,0.5645509500895821,0.8380964308386022,0.9521701910277067,0.22599330087649522,0.710371139794294
7,310.36789493205123,0.0163115857527799,0.2077516715137739,-0.2630439312532582,Z8,"{""type"":""Polygon"",""coordinates"":[[[72.62999852068243,22.975000915825813],[72.62999852068243,23.099998415558492],[72.5700012861179,23.099998460587155],[72.5700012861179,22.975000890432323],[72.62999852068243,22.975000915825813]]]}",ahmedabad_features,0.38659977235058096,0.8858664219251687,0.7407479974535277,0.4594944218702665,0.7096754424650128
5,307.8570217285808,0.0932006583071872,0.288564622639955,-0.3890373546710832,Z6,"{""type"":""Polygon"",""coordinates"":[[[73.76400143465389,18.449998826992502],[73.76400143465389,18.519997779493778],[73.74999982887877,18.519997776503974],[73.74999982887877,18.449998844662662],[73.76400143465389,18.449998826992502]]]}",mumbai_features,0.536599481871093,0.8008068623840334,0.973449886620419,0.2686351526173484,0.706826944491809
4,307.5472850545038,0.0744962261916434,0.2703117421136691,-0.3965606459997908,Z5,"{""type"":""Polygon"",""coordinates"":[[[75.95999941345487,26.75000006712375],[75.99999973816823,26.750000105897836],[75.99999973816823,26.92500191752381],[75.95999941345487,26.925001975996636],[75.91999905286957,26.925001965444704],[75.91999905286957,26.750000112286052],[75.95999941345487,26.75000006712375]]]}",jaipur_features,0.5027196799494863,0.7903140724517064,0.916841625596058,0.25723860630229045,0.7059248679270598
4,306.84295914129643,0.0773140435741899,0.2558767313224512,-0.3706488657844017,Z5,"{""type"":""Polygon"",""coordinates"":[[[73.81999876329446,18.37999981151146],[73.81999876329446,18.449998825719046],[73.80600162611299,18.449998851778787],[73.80600162611299,18.37999984629191],[73.81999876329446,18.37999981151146]]]}",mumbai_features,0.47592635789610244,0.7664539859017283,0.9253696440317322,0.29649068234558423,0.7039622969613915
7,310.00079457981883,0.04017668410943,0.2689892219214647,-0.3517738684729727,Z8,"{""type"":""Polygon"",""coordinates"":[[[73.96000117000168,18.519997794356673],[73.96000117000168,18.660000136769856],[73.89000222534351,18.660000162239793],[73.89000222534351,18.519997814315534],[73.96000117000168,18.519997794356673]]]}",pune_features,0.50026490454652,0.8734303521845205,0.812974820957173,0.325083192147175,0.7007688744334325
