zone_id,NDVI,LST,NDBI,NDWI,tree_cover,water_available,impact_score,cost,reason,coordinates,selected
Z2,0.44,300.99,0.8,0.12,1,1,0.68,117,Dense built-up area,"[[(73.82542598368366, 18.38122357413738), (73.82542598368366, 18.51973236259186), (73.75478115831758, 18.51973236259186), (73.75478115831758, 18.38122357413738), (73.82542598368366, 18.38122357413738)]]",True
Z7,0.39,302.82,0.59,0.14,1,1,0.68,108,Moderate priority zone,"[[(73.82542598368366, 18.51973236259186), (73.82542598368366, 18.65824115104634), (73.75478115831758, 18.65824115104634), (73.75478115831758, 18.51973236259186), (73.82542598368366, 18.51973236259186)]]",True
Z9,0.46,303.32,0.59,0.46,1,1,0.67,94,Moderate priority zone,"[[(73.96671563441582, 18.51973236259186), (73.96671563441582, 18.65824115104634), (73.89607080904975, 18.65824115104634), (73.89607080904975, 18.51973236259186), (73.96671563441582, 18.51973236259186)]]",True
Z1,0.45,298.88,0.45,0.26,1,1,0.63,150,Moderate priority zone,"[[(73.75478115831758, 18.38122357413738), (73.75478115831758, 18.51973236259186), (73.68413633295151, 18.51973236259186), (73.68413633295151, 18.38122357413738), (73.75478115831758, 18.38122357413738)]]",True
Z3,0.51,294.3,0.46,0.18,1,1,0.58,123,Moderate priority zone,"[[(73.89607080904975, 18.38122357413738), (73.89607080904975, 18.51973236259186), (73.82542598368366, 18.51973236259186), (73.82542598368366, 18.38122357413738), (73.89607080904975, 18.38122357413738)]]",False
Z10,0.64,291.98,0.63,0.3,1,1,0.57,150,Dense built-up area,"[[(74.0373604597819, 18.51973236259186), (74.0373604597819, 18.65824115104634), (73.96671563441582, 18.65824115104634), (73.96671563441582, 18.51973236259186), (74.0373604597819, 18.51973236259186)]]",False
Z6,0.65,297.9,0.33,0.41,1,1,0.56,90,Moderate priority zone,"[[(73.75478115831758, 18.51973236259186), (73.75478115831758, 18.65824115104634), (73.68413633295151, 18.65824115104634), (73.68413633295151, 18.51973236259186), (73.75478115831758, 18.51973236259186)]]",False
