system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo
00000000000000000000,297.3405971737018,-0.17947408677131624,0.43753247717056004,-0.41328477774813754,Z1,"{""type"":""Polygon"",""coordinates"":[[[88.25999933223706,22.44999972401687],[88.25999933223706,22.57500170540009],[88.20000214553644,22.57500174381237],[88.20000214553644,22.449999777034165],[88.25999933223706,22.44999972401687]]]}"
00000000000000000001,298.43317224971133,-0.0789171210392961,0.37326622522287123,-0.37760216913819017,Z2,"{""type"":""Polygon"",""coordinates"":[[[88.32000105210311,22.449999783717576],[88.32000105210311,22.575001680691184],[88.25999933223706,22.57500170540009],[88.25999933223706,22.44999972401687],[88.32000105210311,22.449999783717576]]]}"
00000000000000000002,299.25386144595745,-0.0200261234028703,0.2990837565944707,-0.32248711188232954,Z3,"{""type"":""Polygon"",""coordinates"":[[[88.37999820761097,22.449999772274126],[88.37999820761097,22.575001758153544],[88.32000105210311,22.575001680691184],[88.32000105210311,22.449999783717576],[88.37999820761097,22.449999772274126]]]}"
00000000000000000003,297.76685986895694,-0.13504920472740126,0.36112453256293536,-0.34490568738669,Z4,"{""type"":""Polygon"",""coordinates"":[[[88.4399998642475,22.449999784677345],[88.4399998642475,22.575001760461625],[88.37999820761097,22.575001758153544],[88.37999820761097,22.449999772274126],[88.4399998642475,22.449999784677345]]]}"
00000000000000000004,297.1804630272605,-0.228445458225872,0.3949447033514586,-0.34688798388157044,Z5,"{""type"":""Polygon"",""coordinates"":[[[88.50000159499916,22.449999777707202],[88.50000159499916,22.575001735114373],[88.4399998642475,22.575001760461625],[88.4399998642475,22.449999784677345],[88.50000159499916,22.449999777707202]]]}"
00000000000000000005,298.54721657461795,-0.10253034998489727,0.5060460551242905,-0.49223928616563695,Z6,"{""type"":""Polygon"",""coordinates"":[[[88.25999933223706,22.57500170540009],[88.25999933223706,22.69999928443452],[88.20000214553644,22.699999220216544],[88.20000214553644,22.57500174381237],[88.25999933223706,22.57500170540009]]]}"
00000000000000000006,298.39331321896213,-0.10049944712416528,0.4538958876180964,-0.44528567470068253,Z7,"{""type"":""Polygon"",""coordinates"":[[[88.32000105210311,22.575001680691184],[88.32000105210311,22.699999263463233],[88.25999933223706,22.69999928443452],[88.25999933223706,22.57500170540009],[88.32000105210311,22.575001680691184]]]}"
00000000000000000007,299.0957844475929,-0.07191969933559426,0.22307209479360202,-0.239457360314504,Z8,"{""type"":""Polygon"",""coordinates"":[[[88.37999820761097,22.575001758153544],[88.37999820761097,22.699999245337448],[88.32000105210311,22.699999263463233],[88.32000105210311,22.575001680691184],[88.37999820761097,22.575001758153544]]]}"
00000000000000000008,298.3783190993432,-0.02901532301144554,0.3324170550666447,-0.34623587651312565,Z9,"{""type"":""Polygon"",""coordinates"":[[[88.4399998642475,22.575001760461625],[88.4399998642475,22.699999234974616],[88.37999820761097,22.699999245337448],[88.37999820761097,22.575001758153544],[88.4399998642475,22.575001760461625]]]}"
00000000000000000009,298.26516997370993,-0.07826728438205738,0.4406477296205964,-0.43468353150038896,Z10,"{""type"":""Polygon"",""coordinates"":[[[88.50000159499916,22.575001735114373],[88.50000159499916,22.69999927967918],[88.4399998642475,22.699999234974616],[88.4399998642475,22.575001760461625],[88.50000159499916,22.575001735114373]]]}"
