system:index,LST,NDBI,NDVI,NDWI,zone_id,.geo
00000000000000000000,305.7035079599092,0.04966466100740231,0.25147662096898576,-0.3100921668863737,Z1,"{""type"":""Polygon"",""coordinates"":[[[73.76400143465389,18.379999871170828],[73.76400143465389,18.449998826992502],[73.74999982887877,18.449998844662662],[73.74999982887877,18.379999825031273],[73.76400143465389,18.379999871170828]]]}"
00000000000000000001,306.1156221744711,0.03514069999763419,0.28992733414655775,-0.3506026540045628,Z2,"{""type"":""Polygon"",""coordinates"":[[[73.77799847097619,18.37999983718417],[73.77799847097619,18.44999881228124],[73.76400143465389,18.449998826992502],[73.76400143465389,18.379999871170828],[73.77799847097619,18.37999983718417]]]}"
00000000000000000002,306.4986553961634,0.07819512919769861,0.3215756189900838,-0.428079017951993,Z3,"{""type"":""Polygon"",""coordinates"":[[[73.79200009178608,18.379999818064455],[73.79200009178608,18.449998810126765],[73.77799847097619,18.44999881228124],[73.77799847097619,18.37999983718417],[73.79200009178608,18.379999818064455]]]}"
00000000000000000003,307.36428307018565,0.08169024093417793,0.28732622911651634,-0.39767800064620656,Z4,"{""type"":""Polygon"",""coordinates"":[[[73.80600162611299,18.37999984629191],[73.80600162611299,18.449998851778787],[73.79200009178608,18.449998810126765],[73.79200009178608,18.379999818064455],[73.80600162611299,18.37999984629191]]]}"
00000000000000000004,306.84295914129643,0.07731404357418999,0.25587673132245126,-0.3706488657844017,Z5,"{""type"":""Polygon"",""coordinates"":[[[73.81999876329446,18.37999981151146],[73.81999876329446,18.449998825719046],[73.80600162611299,18.449998851778787],[73.80600162611299,18.37999984629191],[73.81999876329446,18.37999981151146]]]}"
00000000000000000005,307.8570217285808,0.09320065830718725,0.288564622639955,-0.38903735467108325,Z6,"{""type"":""Polygon"",""coordinates"":[[[73.76400143465389,18.449998826992502],[73.76400143465389,18.519997779493778],[73.74999982887877,18.519997776503974],[73.74999982887877,18.449998844662662],[73.76400143465389,18.449998826992502]]]}"
00000000000000000006,307.2802432830978,0.06898301429247387,0.2741804973223189,-0.3668236598192459,Z7,"{""type"":""Polygon"",""coordinates"":[[[73.77799847097619,18.44999881228124],[73.77799847097619,18.519997780706742],[73.76400143465389,18.519997779493778],[73.76400143465389,18.449998826992502],[73.77799847097619,18.44999881228124]]]}"
00000000000000000007,307.813049539871,0.07875849082349373,0.24757447964868498,-0.34183655165184024,Z8,"{""type"":""Polygon"",""coordinates"":[[[73.79200009178608,18.449998810126765],[73.79200009178608,18.519997792167175],[73.77799847097619,18.519997780706742],[73.77799847097619,18.44999881228124],[73.79200009178608,18.449998810126765]]]}"
00000000000000000008,307.3566015104365,0.04055156205554341,0.24581875003353143,-0.31700504573941846,Z9,"{""type"":""Polygon"",""coordinates"":[[[73.80600162611299,18.449998851778787],[73.80600162611299,18.519997756013968],[73.79200009178608,18.519997792167175],[73.79200009178608,18.449998810126765],[73.80600162611299,18.449998851778787]]]}"
00000000000000000009,306.1035119182399,0.010408730797916954,0.2561506872809024,-0.3098244735729224,Z10,"{""type"":""Polygon"",""coordinates"":[[[73.81999876329446,18.449998825719046],[73.81999876329446,18.519997823208755],[73.80600162611299,18.519997756013968],[73.80600162611299,18.449998851778787],[73.81999876329446,18.449998825719046]]]}"
